LOC,STU_ID,NAME,DEUSS,ELL,ESE,ETHN,GRADE,2526 Absences,COURSE_TITLE,TEACHER_NAME,Period,Exc Abs,Unexc Abs,Q1_Grade,Q2_Grade,FAST_ELA_PM3.Level,FAST_ELA_PM3.%tile,FAST_ELA_PM3.SS,FAST_ELA_PM2.Level,FAST_ELA_PM2.%tile,FAST_ELA_PM2.SS,FAST_ELA_PM1.Level,FAST_ELA_PM1.%tile,FAST_ELA_PM1.SS,FAST_EarlyLit_PM1.Unified SS,2425 ELA_TEST,2425 ELA_Lvl,2425 ELA_%tile,2425 ELA_SS,2425 STAR FAST Equivalent ELA Lvl,2425 STAR FAST Equivalent ELA SS,AP2 ELA Level,AP2 ELA_Placement,AP2 ELA SS,AP1.ELA Level,AP1.ELA Placement,AP1.ELA SS,ELA Pts4LG,ELA L25/35,FAST_Math_PM3.Level,FAST_Math_PM3.%tile,FAST_Math_PM3.SS,FAST_Math_PM2.Level,FAST_Math_PM2.%tile,FAST_Math_PM2.SS,FAST_Math_PM1.Level,FAST_Math_PM1.%tile,FAST_Math_PM1.SS,2425 MATH_TEST,2425 MATH_Lvl,2425 MATH_%tile,2425 MATH_SS,AP2 Math Level,AP2 Math Placement,AP2 Math SS,AP1.Math Level,AP1.Math.Placement,AP1.Math SS,Math.Pts4LG,MATH L25/35,2425 SCI_TEST,2425 SCI_Lvl,2425 SOC_TEST,2425 SOC_Lvl,STUDENT_FLEID,FTE,Cnt4Prof
6128,5521373,"Student, T195",,N,Y,H,6,17,M/J Grade 6 Math,"Chen, L.",3,11,6,C,D,3,62,236,3,54,225,3,51,225,,FAST ELA,1.3,40,196,,,,,,,,,13,,3,57,237,3,56,230,2,50,226,FAST MATH,2.2,46,214,,,,,,,15,,SCI_05,3,,,FL9783042510,,
6128,7019877,"Student, D833",,N,N,H,6,6,M/J Grade 6 Math,"Garcia, M.",3,2,4,B,B,5,79,262,5,66,250,4,67,248,,FAST ELA,4,74,240,,,,,,,,,10,,5,73,265,4,73,249,4,64,246,FAST MATH,3,59,228,,,,,,,11,,SCI_05,2,,,FL4286338591,,
6128,4344769,"Student, E506",,N,N,H,6,1,M/J Grade 6 Math,"Rodriguez, J.",7,0,1,C,B,2,47,222,2,52,219,2,47,211,,FAST ELA,2.2,49,219,,,,,,,,,6,,5,90,271,5,86,258,5,78,258,FAST MATH,3,56,229,,,,,,,10,,SCI_05,3,,,FL5039069735,,
6128,1103355,"Student, G848",,N,N,H,6,4,M/J Grade 6 Math,"Rodriguez, J.",3,2,2,C,C,4,66,244,4,72,246,4,75,245,,FAST ELA,2.2,56,217,,,,,,,,,8,,4,75,253,4,65,241,4,55,239,FAST MATH,3,51,232,,,,,,,7,,SCI_05,3,,,FL7317327180,,
6128,2262752,"Student, O270",,N,Y,H,6,14,M/J Grade 6 Math,"Rodriguez, J.",3,8,6,B,C,5,75,254,5,79,254,5,70,251,,FAST ELA,3,60,220,,,,,,,,,17,,4,64,251,4,53,241,4,55,240,FAST MATH,2.2,48,211,,,,,,,18,,SCI_05,3,,,FL5824247183,,
6128,6664789,"Student, D624",,N,N,W,6,5,M/J Grade 6 Math,"Rodriguez, J.",2,2,3,D,C,4,58,239,3,58,230,3,44,227,,FAST ELA,1.3,33,196,,,,,,,,,13,L35,3,51,229,2,48,223,2,36,223,FAST MATH,2.1,45,205,,,,,,,16,,SCI_05,4,,,FL3206972127,,
6128,6743066,"Student, G798",,N,N,H,6,33,M/J Grade 6 Math,"Thompson, R.",6,14,19,C,B,3,64,236,3,55,229,3,59,228,,FAST ELA,3,59,220,,,,,,,,,17,,3,57,231,3,56,238,3,58,237,FAST MATH,3,53,227,,,,,,,12,,SCI_05,2,,,FL9174602727,,
6128,7113790,"Student, S185",,N,N,H,6,3,M/J Grade 6 Accel,"Williams, A.",6,1,2,C,C,3,56,235,4,65,237,3,56,235,,FAST ELA,3,62,226,,,,,,,,,11,,5,94,276,5,78,266,5,70,262,FAST MATH,4,68,241,,,,,,,13,,SCI_05,1,,,FL4822021484,,
6128,5721339,"Student, B781",,N,N,H,6,11,M/J Grade 6 Math,"Williams, A.",6,6,5,D,D,3,62,232,2,51,221,2,51,219,,FAST ELA,2.1,40,203,,,,,,,,,14,,3,55,231,3,55,229,2,46,223,FAST MATH,2.1,39,206,,,,,,,15,,SCI_05,4,,,FL4512666096,,
6128,4275709,"Student, M673",,N,N,W,6,3,M/J Grade 6 Math,"Thompson, R.",4,1,2,C,B,3,55,233,2,47,222,2,39,222,,FAST ELA,2.1,37,206,,,,,,,,,11,,1,23,205,2,39,213,1,36,211,FAST MATH,2.1,44,208,,,,,,,13,,SCI_05,3,,,FL3191070597,,
6128,1084654,"Student, Y745",,N,N,M,6,14,M/J Grade 6 Accel,"Chen, L.",5,8,6,A,B,5,90,268,5,80,263,5,83,258,,FAST ELA,5,96,260,,,,,,,,,0,,5,82,263,4,74,246,4,59,241,FAST MATH,4,70,233,,,,,,,21,,SCI_05,3,,,FL3202876091,,
6128,6147581,"Student, L655",,N,N,H,6,6,M/J Grade 6 Accel,"Chen, L.",6,2,4,B,B,3,59,234,3,58,232,3,45,225,,FAST ELA,3,65,226,,,,,,,,,11,,4,66,248,4,65,250,4,62,248,FAST MATH,5,86,256,,,,,,,0,,SCI_05,4,,,FL9029896973,,
6128,2954354,"Student, T897",,N,Y,H,6,3,M/J Grade 6 Accel,"Rodriguez, J.",3,1,2,A,A,4,63,245,4,78,248,4,72,246,,FAST ELA,4,76,240,,,,,,,,,10,,5,87,269,4,71,250,4,60,243,FAST MATH,4,62,235,,,,,,,19,,SCI_05,4,,,FL4185158988,,
6128,9242680,"Student, K739",,N,N,H,6,0,M/J Grade 6 Accel,"Garcia, M.",3,0,0,B,B,5,85,270,5,88,277,5,91,273,,FAST ELA,4,78,236,,,,,,,,,14,,5,96,282,5,98,284,5,88,280,FAST MATH,5,90,265,,,,,,,0,,SCI_05,5,,,FL5860415166,,
6128,3428388,"Student, Z447",,N,N,H,6,1,M/J Grade 6 Accel,"Chen, L.",6,0,1,A,A,5,90,267,5,92,284,5,95,284,,FAST ELA,5,84,247,,,,,,,,,0,,5,98,285,5,91,281,5,94,279,FAST MATH,5,91,262,,,,,,,0,,SCI_05,3,,,FL8965890679,,
6128,9916786,"Student, Y330",,N,N,W,6,0,M/J Grade 6 Math,"Garcia, M.",7,0,0,D,D,1,29,196,1,32,200,1,22,191,,FAST ELA,1.2,17,171,,,,,,,,,22,L25,3,59,236,3,46,229,2,47,222,FAST MATH,2.1,43,207,,,,,,,14,,SCI_05,3,,,FL8963989442,,
6128,3663046,"Student, A484",,N,N,H,6,0,M/J Grade 6 Math,"Williams, A.",6,0,0,D,F,3,51,225,2,49,221,2,47,215,,FAST ELA,1.2,15,186,,,,,,,,,7,L25,5,73,256,4,61,240,3,50,235,FAST MATH,3,53,222,,,,,,,17,,SCI_05,3,,,FL2746148085,,
6128,6499720,"Student, Y382",,N,Y,H,6,11,M/J Grade 6 Math,"Garcia, M.",3,5,6,C,D,4,63,247,2,51,223,2,43,214,,FAST ELA,2.2,61,219,,,,,,,,,6,,4,62,243,3,43,232,3,42,229,FAST MATH,2.2,51,217,,,,,,,12,,SCI_05,2,,,FL9174142159,,
6128,7640913,"Student, Y727",,N,Y,H,6,9,M/J Grade 6 Math,"Williams, A.",4,5,4,F,D,1,7,165,1,23,189,1,25,189,,FAST ELA,1.2,25,184,,,,,,,,,9,L25,2,47,227,2,51,223,2,48,222,FAST MATH,2.2,42,212,,,,,,,17,,SCI_05,3,,,FL7888487519,,
6128,4416664,"Student, M844",,N,N,H,6,11,M/J Grade 6 Accel,"Thompson, R.",1,7,4,A,A,5,91,267,5,81,263,5,86,255,,FAST ELA,5,84,250,,,,,,,,,0,,5,80,270,5,73,259,5,69,254,FAST MATH,4,66,242,,,,,,,12,,SCI_05,2,,,FL3476538277,,
6128,4385659,"Student, C458",,Y,N,H,6,19,M/J Grade 6 Math,"Thompson, R.",1,8,11,D,C,1,39,203,2,48,211,1,27,204,,FAST ELA,1.3,38,197,,,,,,,,,12,,5,78,259,4,60,247,4,71,247,FAST MATH,3,50,225,,,,,,,14,,,,,,FL4374311429,,
6128,4385357,"Student, F555",,N,N,H,6,7,M/J Grade 6 Accel,"Rodriguez, J.",6,3,4,B,B,4,66,245,5,68,255,4,79,249,,FAST ELA,4,69,231,,,,,,,,,19,,5,88,276,5,77,256,4,63,252,FAST MATH,4,66,236,,,,,,,18,,SCI_05,3,,,FL6380728351,,
6128,2465689,"Student, I417",,N,Y,H,6,11,M/J Grade 6 Math,"Chen, L.",2,5,6,C,D,2,50,222,2,38,214,1,36,205,,FAST ELA,2.2,54,211,,,,,,,,,14,,3,51,230,2,55,228,2,47,225,FAST MATH,3,56,226,,,,,,,13,,SCI_05,3,,,FL4133023034,,
6128,1068148,"Student, E324",,N,N,H,6,11,M/J Grade 6 Math,"Rodriguez, J.",6,5,6,B,B,5,88,268,5,85,267,5,76,261,,FAST ELA,2.2,52,212,,,,,,,,,13,,4,67,247,3,47,233,3,43,233,FAST MATH,3,55,230,,,,,,,9,,SCI_05,2,,,FL9540635443,,
6128,2825665,"Student, S333",,N,N,H,6,3,M/J Grade 6 Math,"Williams, A.",7,1,2,C,B,4,65,247,5,64,250,4,62,246,,FAST ELA,4,73,237,,,,,,,,,13,,5,81,272,4,70,249,4,68,249,FAST MATH,2.2,43,210,,,,,,,19,,SCI_05,1,,,FL1108393598,,
6128,3745683,"Student, L763",,N,N,H,6,2,M/J Grade 6 Math,"Rodriguez, J.",6,1,1,D,D,4,62,237,3,57,233,3,54,229,,FAST ELA,1.3,28,187,,,,,,,,,22,L35,2,38,221,3,53,231,2,53,227,FAST MATH,2.2,54,220,,,,,,,9,,SCI_05,1,,,FL2085106462,,
6128,5056518,"Student, O926",,N,N,H,6,1,M/J Grade 6 Accel,"Garcia, M.",1,0,1,C,B,4,69,242,5,89,261,5,82,257,,FAST ELA,4,55,238,,,,,,,,,12,,5,78,262,4,62,245,4,63,242,FAST MATH,4,72,234,,,,,,,20,,,,,,FL7528668372,,
6128,3669995,"Student, V771",,N,N,H,6,2,M/J Grade 6 Accel,"Williams, A.",3,1,1,B,A,5,78,255,5,90,272,5,89,272,,FAST ELA,5,92,263,,,,,,,,,0,,5,87,270,5,66,254,4,75,248,FAST MATH,4,71,238,,,,,,,16,,,,,,FL7536738387,,
6128,5997895,"Student, X332",,N,Y,H,6,4,M/J Grade 6 Math,"Thompson, R.",6,2,2,C,C,1,15,184,1,32,200,1,33,193,,FAST ELA,1.3,29,194,,,,,,,,,15,L35,1,14,183,1,26,206,1,33,206,FAST MATH,1.3,18,193,,,,,,,20,L25,SCI_05,3,,,FL8523391875,,
6128,7397986,"Student, T212",,N,N,H,6,1,M/J Grade 6 Accel,"Chen, L.",3,0,1,C,C,4,67,247,4,57,240,4,56,240,,FAST ELA,2.2,60,218,,,,,,,,,7,,5,81,271,5,77,266,5,85,266,FAST MATH,4,69,241,,,,,,,13,,,,,,FL3677816876,,
6128,2870928,"Student, Q541",,N,N,H,6,16,M/J Grade 6 Math,"Williams, A.",3,9,7,C,A,4,69,244,5,72,254,5,73,251,,FAST ELA,5,85,250,,,,,,,,,0,,5,81,263,4,68,249,4,69,246,FAST MATH,3,64,227,,,,,,,12,,,,,,FL5524810160,,
6128,5155299,"Student, T367",,Y,N,H,6,11,M/J Grade 6 Math,"Williams, A.",2,6,5,D,F,2,50,221,2,41,214,1,30,206,,FAST ELA,1.2,18,179,,,,,,,,,14,L25,2,48,227,2,45,224,2,54,222,FAST MATH,2.2,38,211,,,,,,,18,,SCI_05,3,,,FL1996671824,,
6128,7249859,"Student, G485",,N,Y,H,6,2,M/J Grade 6 Accel,"Garcia, M.",3,1,1,A,B,3,47,228,3,56,232,2,53,224,,FAST ELA,3,59,225,,,,,,,,,12,,3,55,237,3,48,230,3,54,230,FAST MATH,4,65,233,,,,,,,21,,SCI_05,2,,,FL6434723235,,
6128,3305413,"Student, C212",,N,N,H,6,2,M/J Grade 6 Accel,"Chen, L.",1,1,1,A,A,5,72,259,5,99,282,5,99,278,,FAST ELA,5,92,264,,,,,,,,,0,,5,93,281,5,99,287,5,98,287,FAST MATH,5,74,249,,,,,,,0,,SCI_05,4,,,FL3380861312,,
6128,4910197,"Student, E724",,N,N,H,6,0,M/J Grade 6 Accel,"Thompson, R.",4,0,0,B,B,5,73,252,5,75,250,4,67,247,,FAST ELA,3,60,227,,,,,,,,,10,,5,90,273,5,68,258,5,65,255,FAST MATH,4,75,242,,,,,,,12,,SCI_05,4,,,FL2262501783,,
6128,6558019,"Student, X180",,N,N,H,6,5,M/J Grade 6 Math,"Williams, A.",4,3,2,C,B,4,62,240,3,53,234,3,44,232,,FAST ELA,2.2,48,219,,,,,,,,,6,,4,67,247,3,58,238,3,61,238,FAST MATH,3,62,230,,,,,,,9,,SCI_05,2,,,FL6313238343,,
6128,6414709,"Student, Q101",,N,N,H,6,5,M/J Grade 6 Accel,"Williams, A.",5,2,3,B,A,5,86,269,5,97,279,5,95,277,,FAST ELA,5,76,253,,,,,,,,,0,,5,93,279,5,85,274,5,82,270,FAST MATH,5,77,257,,,,,,,0,,SCI_05,4,,,FL9368756442,,
6128,1271836,"Student, B319",,N,N,H,6,14,M/J Grade 6 Math,"Garcia, M.",7,6,8,D,C,4,67,245,4,64,237,3,60,233,,FAST ELA,2.1,46,208,,,,,,,,,9,,3,57,235,3,55,233,2,46,228,FAST MATH,3,54,225,,,,,,,14,,,,,,FL5057308438,,
6128,4584702,"Student, V954",,N,N,H,6,2,M/J Grade 6 Accel,"Rodriguez, J.",6,1,1,A,A,5,84,261,5,99,280,5,91,271,,FAST ELA,5,99,264,,,,,,,,,0,,5,90,272,5,64,257,5,76,256,FAST MATH,5,75,250,,,,,,,0,,SCI_05,4,,,FL7914646343,,
6128,8281369,"Student, E835",,N,N,H,6,13,M/J Grade 6 Accel,"Thompson, R.",7,6,7,B,C,4,66,242,5,85,257,5,84,257,,FAST ELA,4,66,235,,,,,,,,,15,,5,85,270,4,78,253,4,72,246,FAST MATH,5,76,252,,,,,,,0,,SCI_05,5,,,FL8670006894,,
6128,3299435,"Student, A484",,Y,N,H,6,27,M/J Grade 6 Math,"Chen, L.",1,18,9,C,C,2,50,222,2,41,218,2,37,214,,FAST ELA,2.2,53,215,,,,,,,,,10,,4,70,252,4,66,241,3,43,234,FAST MATH,2.2,52,214,,,,,,,15,,SCI_05,1,,,FL9617573604,,
6128,9585377,"Student, S737",,N,N,H,6,0,M/J Grade 6 Math,"Williams, A.",3,0,0,B,B,5,75,259,5,78,262,5,81,257,,FAST ELA,2.1,51,210,,,,,,,,,7,,3,62,238,2,47,225,2,48,220,FAST MATH,2.2,41,212,,,,,,,17,,,,,,FL4317932187,,
6128,3658505,"Student, B152",,N,N,H,6,12,M/J Grade 6 Accel,"Williams, A.",4,5,7,B,B,5,76,268,5,81,269,5,88,263,,FAST ELA,4,68,240,,,,,,,,,10,,5,93,280,5,91,271,5,74,264,FAST MATH,4,73,241,,,,,,,13,,,,,,FL4017164476,,
6128,2271741,"Student, L829",,N,N,H,6,7,M/J Grade 6 Math,"Thompson, R.",7,3,4,B,C,4,73,247,4,68,247,4,54,239,,FAST ELA,2.1,42,204,,,,,,,,,13,,4,70,250,3,60,237,3,52,232,FAST MATH,3,59,231,,,,,,,8,,SCI_05,5,,,FL8560964853,,
6128,4769315,"Student, F515",,N,N,H,6,5,M/J Grade 6 Accel,"Rodriguez, J.",1,2,3,B,B,4,71,241,5,85,263,5,82,261,,FAST ELA,4,72,242,,,,,,,,,8,,5,95,283,5,94,279,5,99,279,FAST MATH,5,81,256,,,,,,,0,,SCI_05,3,,,FL7497951230,,
6128,2046797,"Student, W935",,N,N,H,6,4,M/J Grade 6 Math,"Williams, A.",4,2,2,B,C,4,67,245,3,65,236,3,57,235,,FAST ELA,3,64,220,,,,,,,,,17,,4,70,253,3,57,238,3,53,237,FAST MATH,3,54,223,,,,,,,16,,SCI_05,4,,,FL4024014621,,
6128,4047262,"Student, W302",,N,N,H,6,12,M/J Grade 6 Math,"Thompson, R.",3,5,7,C,D,3,61,236,3,54,229,3,53,227,,FAST ELA,2.1,53,207,,,,,,,,,10,,1,4,174,1,31,203,1,24,202,FAST MATH,2.1,41,207,,,,,,,14,,SCI_05,1,,,FL4041360109,,
6128,1564685,"Student, X222",,N,N,H,6,8,M/J Grade 6 Math,"Garcia, M.",7,5,3,B,D,4,70,246,4,69,249,4,66,241,,FAST ELA,4,61,231,,,,,,,,,19,,3,54,231,4,57,239,3,53,237,FAST MATH,3,61,232,,,,,,,7,,SCI_05,2,,,FL7338030929,,
6128,3879190,"Student, Q866",,Y,N,H,6,13,M/J Grade 6 Accel,"Rodriguez, J.",4,5,8,B,C,4,74,247,4,64,239,3,56,233,,FAST ELA,4,74,239,,,,,,,,,11,,5,97,280,5,99,287,5,90,283,FAST MATH,5,91,260,,,,,,,0,,SCI_05,1,,,FL3896524458,,
6128,6596411,"Student, F379",,N,N,H,6,18,M/J Grade 6 Math,"Chen, L.",6,11,7,C,C,4,74,249,4,60,240,3,54,232,,FAST ELA,2.2,56,214,,,,,,,,,11,,4,69,250,4,46,239,3,59,238,FAST MATH,3,61,226,,,,,,,13,,SCI_05,5,,,FL4276601949,,
6128,2007293,"Student, E983",,N,N,H,6,7,M/J Grade 6 Math,"Williams, A.",6,2,5,B,B,4,69,245,5,83,251,5,72,250,,FAST ELA,4,71,232,,,,,,,,,18,,3,52,236,3,56,236,3,56,234,FAST MATH,3,58,230,,,,,,,9,,SCI_05,4,,,FL1195217007,,
6128,5774183,"Student, B297",,N,N,H,6,31,M/J Grade 6 Math,"Thompson, R.",5,12,19,B,B,4,64,240,3,48,231,3,48,227,,FAST ELA,2.1,47,209,,,,,,,,,8,,5,74,254,4,70,240,3,54,237,FAST MATH,2.2,59,219,,,,,,,10,,SCI_05,4,,,FL3011462835,,
6128,4366612,"Student, V610",,N,N,H,6,7,M/J Grade 6 Math,"Garcia, M.",5,4,3,C,D,3,54,228,2,50,222,2,41,219,,FAST ELA,1.3,46,201,,,,,,,,,8,,3,60,231,3,51,236,3,60,234,FAST MATH,3,54,222,,,,,,,17,,SCI_05,5,,,FL8617351019,,
6128,9411855,"Student, P243",,N,N,H,6,8,M/J Grade 6 Math,"Chen, L.",4,5,3,C,C,4,58,238,3,62,225,2,54,224,,FAST ELA,2.2,46,214,,,,,,,,,11,,4,64,244,3,64,237,3,58,233,FAST MATH,2.2,45,210,,,,,,,19,,SCI_05,1,,,FL4663529784,,
6128,6267180,"Student, A300",,N,N,H,6,6,M/J Grade 6 Accel,"Thompson, R.",1,4,2,B,A,5,85,268,5,94,277,5,82,269,,FAST ELA,4,69,237,,,,,,,,,13,,5,89,281,5,97,282,5,91,276,FAST MATH,4,67,244,,,,,,,10,,SCI_05,3,,,FL9574465390,,
6128,8807313,"Student, F563",,Y,Y,H,6,2,M/J Grade 6 Math,"Thompson, R.",6,1,1,B,C,4,72,247,4,68,247,4,66,239,,FAST ELA,4,66,237,,,,,,,,,13,,3,52,230,3,45,234,3,57,234,FAST MATH,3,51,223,,,,,,,16,,SCI_05,1,,,FL4418825771,,
6128,3704238,"Student, C759",,Y,N,W,6,10,M/J Grade 6 Math,"Chen, L.",1,6,4,B,B,4,61,238,3,58,235,3,58,230,,FAST ELA,2.2,56,216,,,,,,,,,9,,4,70,252,3,57,238,3,55,235,FAST MATH,3,51,224,,,,,,,15,,SCI_05,2,,,FL6220536015,,
6128,3630708,"Student, D502",,N,N,H,6,6,M/J Grade 6 Accel,"Garcia, M.",1,2,4,B,A,5,92,274,5,99,284,5,88,280,,FAST ELA,4,70,240,,,,,,,,,10,,5,89,275,5,85,268,5,86,262,FAST MATH,5,79,254,,,,,,,0,,SCI_05,2,,,FL2443139359,,
6128,4494679,"Student, Z610",,N,N,H,6,4,M/J Grade 6 Accel,"Garcia, M.",4,2,2,A,A,5,79,263,5,99,284,5,90,277,,FAST ELA,5,97,268,,,,,,,,,0,,5,96,280,5,95,282,5,89,276,FAST MATH,5,94,269,,,,,,,0,,SCI_05,3,,,FL4321646316,,
6128,6517209,"Student, S247",,Y,N,H,6,19,M/J Grade 6 Accel,"Rodriguez, J.",1,10,9,D,C,2,40,209,2,30,212,1,43,207,,FAST ELA,2.2,54,214,,,,,,,,,11,,5,90,271,4,70,253,4,74,250,FAST MATH,4,67,237,,,,,,,17,,SCI_05,2,,,FL9224715768,,
6128,2767640,"Student, G919",,N,N,H,6,2,M/J Grade 6 Accel,"Williams, A.",6,1,1,B,C,4,59,239,3,62,228,3,49,228,,FAST ELA,1.3,39,196,,,,,,,,,13,,4,67,246,4,61,243,4,56,239,FAST MATH,4,73,237,,,,,,,17,,SCI_05,1,,,FL1812346247,,
6128,7723771,"Student, I739",,Y,N,H,6,5,M/J Grade 6 Accel,"Chen, L.",3,3,2,A,B,5,88,269,5,83,273,5,86,270,,FAST ELA,4,67,238,,,,,,,,,12,,5,87,273,5,78,259,5,79,257,FAST MATH,4,60,236,,,,,,,18,,SCI_05,2,,,FL8282652427,,
6128,2285160,"Student, G437",,N,N,H,6,9,M/J Grade 6 Accel,"Chen, L.",5,5,4,A,A,5,80,261,5,90,274,5,89,268,,FAST ELA,5,87,250,,,,,,,,,0,,5,94,277,5,90,275,5,90,275,FAST MATH,5,88,265,,,,,,,0,,SCI_05,2,,,FL3623240298,,
6128,7080526,"Student, H740",,Y,N,H,6,12,M/J Grade 6 Math,"Chen, L.",3,6,6,F,C,1,1,163,1,25,195,1,30,194,,FAST ELA,1.3,33,191,,,,,,,,,18,L35,2,40,221,2,48,227,2,45,225,FAST MATH,2.2,43,218,,,,,,,11,,,,,,FL5533445490,,
6128,6173036,"Student, K572",,N,N,H,6,4,M/J Grade 6 Accel,"Garcia, M.",1,2,2,B,B,3,59,230,4,64,237,3,54,229,,FAST ELA,3,51,220,,,,,,,,,17,,5,81,267,5,74,258,5,71,257,FAST MATH,4,58,234,,,,,,,20,,SCI_05,4,,,FL1905299424,,
6128,2425472,"Student, R250",,N,N,H,6,14,M/J Grade 6 Accel,"Williams, A.",3,9,5,B,B,5,75,254,4,63,249,4,62,242,,FAST ELA,2.2,46,216,,,,,,,,,9,,5,81,267,5,76,265,5,86,263,FAST MATH,4,77,244,,,,,,,10,,SCI_05,5,,,FL4678611156,,
6128,1048984,"Student, J710",,N,N,H,6,11,M/J Grade 6 Math,"Rodriguez, J.",6,5,6,D,D,1,30,192,1,39,207,1,38,200,,FAST ELA,1.3,27,187,,,,,,,,,22,L35,3,57,237,2,39,223,2,36,216,FAST MATH,2.1,39,207,,,,,,,14,,,,,,FL4586580903,,
6128,7556168,"Student, G863",,N,Y,H,6,2,M/J Grade 6 Math,"Thompson, R.",6,1,1,C,C,4,72,245,4,73,239,3,67,233,,FAST ELA,2.1,49,207,,,,,,,,,10,,5,75,256,4,62,243,4,53,240,FAST MATH,3,49,222,,,,,,,17,,SCI_05,2,,,FL6866434901,,
